TIMESTAMP_START,TIMESTAMP_END,TAU_1_1_1,TAU_SSITC_TEST_1_1_1,H_1_1_1,H_SSITC_TEST_1_1_1,LE_1_1_1,LE_SSITC_TEST_1_1_1,FC_1_1_1,FC_SSITC_TEST_1_1_1,FH2O_1_1_1,SH_1_1_1,SLE_1_1_1,SC_1_1_1,CO2_1_1_1,H2O_1_1_1,T_SONIC_1_1_1,TA_1_1_1,PA_1_1_1,RH_1_1_1,VPD_PI_1_1_1,T_DP_1_1_1,WS_1_1_1,WS_MAX_1_1_1,WD_1_1_1,USTAR_1_1_1,MO_LENGTH_1_1_1,ZL_1_1_1,FETCH_70_1_1_1,FETCH_90_1_1_1,TA_3_1_1,TA_2_1_1,TA_2_2_1,TA_2_1_2,RH_2_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,SW_DIF_1_1_1,P_1_1_1,PA_2_1_1,WS_3_1_1,WS_MAX_3_1_1,WS_2_1_1,WS_MAX_2_1_1,WD_2_1_1,WS_2_2_1,WS_MAX_2_2_1,WD_2_2_1,WTD_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_3_1_1
202501010000,202501010030,0.465645,0.0,-31.9837,0.0,24.6111,0.0,2.10068,0.0,0.549639,0.839535,0.633084,-0.0305986,400.397,10.6135,7.397000000000048,6.454000000000008,101.3,100.0,0.0,7.9950000000000045,7.54018,14.4256,209.31,0.608602,620.45,0.00542026,104.576,156.673,6.768033333333332,6.817633333333331,5.843233333333333,6.7530333333333346,85.5566666666667,-0.5197,-4.862933333333333,340.9633333333333,344.5766666666667,-0.2910000000000001,0.0,101.77085666666667,0.20000000000000007,0.2,9.824433333333333,14.07,212.68406666666667,7.819000000000002,12.81,212.3799666666667,-0.3479333333333335,5.079033333333332,5.670866666666667,6.1233666666666675,-9999,9.863333333333335,11.257233333333335,4.685266666666666,-9999,-9999,6.662999999999999,-3.9226999999999994,-3.8711666666666664,-4.0405999999999995,5.880000000000001,69.67666666666666,69.00666666666666,69.64333333333333,73.78,70.40000000000002,70.59666666666664,68.70000000000002,73.57666666666665,56.00000000000001
202501010030,202501010100,0.491372,0.0,-32.3182,0.0,26.2011,0.0,1.81046,0.0,0.585385,1.02314,0.6972,-0.028646,400.101,10.8169,7.838999999999999,6.8770000000000095,101.3,100.0,0.0,8.273000000000025,7.96143,15.1488,205.08,0.625686,667.229,0.00504025,98.1352,147.024,7.203933333333333,7.243866666666667,6.195733333333333,7.171766666666667,84.89333333333333,-0.5592,-4.765199999999999,342.28333333333336,346.34999999999997,-0.2910000000000001,0.0,101.72529000000003,0.20000000000000007,0.2,10.8042,15.51,210.04910000000004,8.5474,14.1,209.1118,-0.3485000000000001,5.086899999999999,5.6407333333333325,6.078433333333334,-9999,9.8718,11.261133333333333,4.9187666666666665,-9999,-9999,6.637166666666666,-3.6971,-3.7818666666666667,-3.812499999999999,7.485899999999999,69.64333333333333,69.12999999999998,69.60999999999999,73.78666666666668,70.39666666666669,70.60333333333331,68.70000000000002,73.57999999999998,55.99666666666667
202501010100,202501010130,0.489075,0.0,-37.3109,0.0,27.8295,0.0,2.34391,0.0,0.621951,0.749015,0.49812,-0.041539,399.611,10.9624,8.163000000000011,7.187000000000012,101.3,100.0,0.0,8.469000000000051,7.50023,14.9234,204.939,0.624584,574.916,0.00584955,100.446,150.487,7.523166666666667,7.565233333333334,6.493966666666668,7.488866666666666,84.37000000000002,-0.5602333333333334,-4.893533333333334,343.53,347.6433333333333,-0.2910000000000001,0.0,101.67202666666665,0.20000000000000007,0.2,10.096833333333333,15.04,208.21416666666664,8.077166666666669,13.47,208.40140000000002,-0.34883333333333333,5.144866666666666,5.661900000000001,6.094,-9999,9.851200000000002,11.269066666666669,5.140633333333333,-9999,-9999,6.6603,-3.4574666666666665,-3.6788,-3.5683333333333334,8.883966666666668,69.66666666666666,69.10666666666665,69.65,73.76333333333335,70.39666666666669,70.60333333333331,68.70000000000002,73.57666666666664,55.99333333333334
202501010130,202501010200,0.433578,0.0,-35.6869,0.0,28.3589,0.0,2.10052,0.0,0.633996,0.847466,0.419632,-0.0478547,399.027,11.0851,8.527000000000044,7.539000000000044,101.3,100.0,0.0,8.633000000000038,7.58731,14.8108,209.32,0.588463,502.72,0.00668961,100.028,149.86,7.873166666666667,7.912400000000001,6.812866666666666,7.843233333333334,82.96333333333334,-0.5799000000000001,-4.8441,344.4399999999999,348.9933333333333,-0.2910000000000001,0.0,101.66521666666668,0.20000000000000007,0.2,10.256666666666668,15.28,211.40720000000002,8.055733333333333,14.75,210.8872,-0.34873333333333345,5.1888,5.670100000000001,6.100133333333334,-9999,9.848233333333335,11.230999999999998,5.321100000000001,-9999,-9999,6.656566666666666,-3.1961999999999993,-3.5617666666666667,-3.299866666666667,9.776166666666665,69.68666666666667,69.11333333333332,69.64999999999999,73.78666666666668,70.40000000000002,70.59999999999998,68.70000000000002,73.58333333333331,56.00000000000001
202501010200,202501010230,0.370258,0.0,-36.981,0.0,28.8699,0.0,2.15314,0.0,0.645552,0.518871,0.175818,-0.0349617,398.585,11.1366,8.747000000000014,7.754000000000019,101.3,100.0,0.0,8.701000000000022,7.19542,14.3437,211.727,0.544011,383.292,0.00877398,99.7008,149.37,8.0602,8.102433333333334,6.9689000000000005,8.031033333333331,82.07333333333332,-0.5706000000000001,-5.086099999999999,344.80333333333334,349.80333333333334,-0.2910000000000001,0.0,101.66957000000001,0.20000000000000007,0.2,9.5411,15.75,213.6377666666667,7.516000000000001,13.78,213.2953666666667,-0.34843333333333343,5.212033333333333,5.6580666666666675,6.0768,-9999,9.869566666666664,11.257166666666668,5.470899999999999,-9999,-9999,6.6435,-2.913066666666667,-3.432433333333334,-3.0093000000000005,10.064499999999999,69.7,69.26666666666667,69.66666666666667,73.77666666666666,70.39000000000001,70.6133333333333,68.70000000000002,73.57333333333331,56.00000000000001
202501010230,202501010300,0.360579,0.0,-38.0085,0.0,30.8855,0.0,1.97586,0.0,0.690682,0.219924,0.037021,-0.0155611,398.383,11.1475,8.840000000000032,7.845000000000027,101.3,100.0,0.0,8.716000000000008,6.93665,14.9151,209.47,0.536942,358.581,0.00937862,97.0159,145.347,8.155400000000002,8.194333333333335,7.047733333333332,8.120666666666665,81.47666666666665,-0.5827333333333333,-5.1837333333333335,344.90333333333336,350.17,-0.2910000000000001,0.0,101.65000333333332,0.20000000000000007,0.2,9.360266666666664,15.51,212.82506666666666,7.350899999999999,13.53,212.64763333333332,-0.34810000000000013,5.2726,5.668233333333332,6.072833333333333,-9999,9.866800000000001,11.264000000000003,5.6066666666666665,-9999,-9999,6.659766666666666,-2.6167666666666665,-3.2849333333333326,-2.7066666666666674,9.956100000000001,69.7,69.14,69.67,73.78,70.40000000000002,70.60666666666664,68.70333333333335,73.57999999999998,56.00000000000001
202501010300,202501010330,0.347016,0.0,-36.7455,0.0,30.3553,0.0,1.92592,0.0,0.678853,0.105967,-0.0549757,-0.0176831,398.143,11.1313,8.882000000000005,7.88900000000001,101.3,100.0,0.0,8.694000000000017,7.0296,13.2963,207.645,0.526786,350.256,0.00960156,94.4113,141.445,8.203,8.235999999999999,7.0895,8.169,80.83999999999997,-0.5871,-5.221599999999999,344.8533333333333,350.28666666666675,-0.2910000000000001,0.0,101.61636333333333,0.20000000000000007,0.2,9.644866666666667,14.81,210.77473333333333,7.508233333333333,11.71,210.79403333333332,-0.3486333333333333,5.334766666666667,5.681333333333336,6.083633333333335,-9999,9.865666666666668,11.265133333333335,5.686400000000002,-9999,-9999,6.660466666666666,-2.3188999999999997,-3.1268,-2.406566666666667,9.4297,69.7,69.19333333333333,69.67999999999999,73.77333333333334,70.40000000000002,70.60666666666665,68.70000000000002,73.57333333333331,56.00000000000001
202501010330,202501010400,0.443242,0.0,-39.7368,0.0,33.3264,0.0,2.05688,0.0,0.745303,0.0134717,-0.0742695,-0.0373821,397.639,11.1096,8.886000000000024,7.895000000000039,101.3,100.0,0.0,8.66500000000002,7.26443,14.0002,205.194,0.595364,467.562,0.00719263,99.8995,149.668,8.241266666666668,8.287666666666668,7.110733333333332,8.203333333333333,80.12833333333334,-0.6140666666666666,-5.034266666666666,344.8366666666667,350.40333333333336,-0.2910000000000001,0.0,101.55784,0.20000000000000007,0.2,10.258133333333332,15.46,209.24986666666666,7.989066666666667,14.98,207.875,-0.34999999999999987,5.382266666666665,5.692400000000002,6.086666666666665,-9999,9.865966666666669,11.2642,5.756200000000001,-9999,-9999,6.661166666666668,-2.032233333333333,-2.962066666666667,-2.1200666666666668,8.896033333333333,69.7,69.18666666666667,69.69333333333333,73.77666666666667,70.40000000000002,70.60999999999999,68.70000000000002,73.57333333333332,56.00000000000001
202501010400,202501010430,0.491165,0.0,-41.6109,0.0,35.5123,0.0,2.31287,0.0,0.794183,-0.0156117,-0.0243983,-0.0293604,397.247,11.1024,8.879000000000019,7.888000000000034,101.3,100.0,0.0,8.656000000000006,6.96335,14.0698,206.201,0.626716,520.821,0.00645712,105.677,158.324,8.199533333333335,8.250333333333334,7.108033333333333,8.174333333333331,80.24266666666666,-0.5992999999999999,-5.135033333333335,344.7133333333333,350.32000000000005,-0.2910000000000001,0.0,101.51852666666667,0.20000000000000007,0.2,9.802933333333334,15.18,209.68416666666664,7.7398,15.65,209.19660000000002,-0.3504333333333332,5.4315,5.6975999999999996,6.086366666666666,-9999,9.866899999999998,11.259066666666671,5.802533333333333,-9999,-9999,6.653333333333333,-1.7689,-2.796066666666667,-1.8568666666666667,8.302866666666668,69.7,69.13333333333334,69.69,73.77,70.40000000000002,70.60333333333331,68.70000000000002,73.56333333333332,56.00000000000001
202501010430,202501010500,0.426846,0.0,-40.8013,0.0,37.1217,0.0,1.96782,0.0,0.830206,0.097067,-0.162071,-0.0403508,396.693,11.0549,8.91500000000002,7.927999999999997,101.3,100.0,0.0,8.593000000000018,7.62288,15.0607,208.348,0.584278,430.394,0.00781377,96.3633,144.37,8.227166666666667,8.277,7.118,8.19833333333333,79.63799999999999,-0.6141333333333333,-5.090566666666666,344.68,350.4,-0.2910000000000001,0.0,101.47409333333334,0.20000000000000007,0.2,10.100033333333332,15.13,211.0218,8.024266666666668,13.11,211.4900666666667,-0.35093333333333315,5.475066666666667,5.706966666666665,6.084233333333332,-9999,9.868866666666667,11.2611,5.842533333333334,-9999,-9999,6.658500000000001,-1.5339666666666667,-2.633966666666667,-1.6209666666666667,7.751266666666667,69.7,69.00999999999999,69.7,73.77666666666666,70.40000000000002,70.62666666666664,68.70000000000002,73.55999999999997,56.00000000000001
